ID,NO_BORNE,COTE_RUE,ID_VOIE_PUBLIQUE,NOM_TOPOGRAPHIQUE,LONGITUDE,LATITUDE
100944,1029,S,105212,Rue Saint-Jean,-71.21098591656107,46.81365603551324
100945,1030,S,105212,Rue Saint-Jean,-71.21090744253252,46.81369828425734
100946,1031,S,105212,Rue Saint-Jean,-71.21083798365869,46.813734539332884
100947,1033,S,105212,Rue Saint-Jean,-71.21075712542097,46.813775867154995
100948,1032,S,105212,Rue Saint-Jean,-71.21077761503159,46.81376651860265
100949,1034,S,105212,Rue Saint-Jean,-71.21062863378509,46.813841088236565
100950,1035,S,105212,Rue Saint-Jean,-71.21056862333786,46.813871427826506
100951,1036,S,105212,Rue Saint-Jean,-71.21047068911912,46.81392264054412
100952,1039,S,105212,Rue Saint-Jean,-71.21026742578672,46.814034746761514
100974,2136,S,105216,Rue Saint-Joachim,-71.2170258556658,46.81055827435308
100975,2137,S,105216,Rue Saint-Joachim,-71.21700555667331,46.8105699619025
101000,1182,S,105218,Rue Saint-Joachim,-71.21469157915207,46.81181094158953
101001,1181,S,105218,Rue Saint-Joachim,-71.21458591712052,46.81187073469878
101002,1180,S,105218,Rue Saint-Joachim,-71.21456879530389,46.811879990939694
101010,3423,S,105415,Rue Saint-Paul,-71.20237999116009,46.816267054447756
101011,3424,S,105415,Rue Saint-Paul,-71.2023597682447,46.81626989546
101012,3421,S,105415,Rue Saint-Paul,-71.20253727129213,46.81624369712539
101013,3422,S,105415,Rue Saint-Paul,-71.20251607007049,46.81624688603324
101024,3481,O,105438,Rue Saint-Pierre,-71.20298988689635,46.81460904352161
101028,3480,O,105438,Rue Saint-Pierre,-71.20307349059249,46.81489343693231
101030,3478,O,105438,Rue Saint-Pierre,-71.20311740997664,46.81501156873132
101031,3479,O,105438,Rue Saint-Pierre,-71.20311028347845,46.8149946543002
101032,3476,O,105438,Rue Saint-Pierre,-71.20315337393991,46.81511854887024
101033,3477,O,105438,Rue Saint-Pierre,-71.20314824822016,46.81510433006577
101034,3474,O,105438,Rue Saint-Pierre,-71.20318586954484,46.81523087617233
101035,3475,O,105438,Rue Saint-Pierre,-71.20318075260039,46.81521733204545
101036,3472,O,105438,Rue Saint-Pierre,-71.20321868786668,46.81532874426946
101037,3473,O,105438,Rue Saint-Pierre,-71.20321254865661,46.81531318223566
101038,3471,O,105439,Rue Saint-Pierre,-71.20330202561998,46.815597584342854
101039,3469,O,105439,Rue Saint-Pierre,-71.20333701207768,46.815705919879896
101040,3470,O,105439,Rue Saint-Pierre,-71.20332888954776,46.81568901158501
101041,3467,O,105439,Rue Saint-Pierre,-71.20337202069665,46.815814938994265
101042,3468,O,105439,Rue Saint-Pierre,-71.20336784231152,46.815798006464036
101043,3465,O,105439,Rue Saint-Pierre,-71.20340595998783,46.8159203301235
101044,3466,O,105439,Rue Saint-Pierre,-71.20339983364084,46.81590475902579
101065,2369,E,105663,Avenue Louis-St-Laurent,-71.2216177954124,46.80397291939705
101066,2367,E,105663,Avenue Louis-St-Laurent,-71.22151620082873,46.8038893534386
101067,2368,E,105663,Avenue Louis-St-Laurent,-71.22152672493144,46.80389940806266
101068,2366,E,105663,Avenue Louis-St-Laurent,-71.22143140342642,46.80381758377179
101085,2360,O,105721,Avenue Turnbull,-71.22096131580719,46.80411778757411
101086,2362,O,105721,Avenue Turnbull,-71.2209028235427,46.80406536504161
101087,2361,O,105721,Avenue Turnbull,-71.22091291103678,46.8040760882067
101088,1189,E,106111,Rue D'Youville,-71.21543581790726,46.81312640612103
101089,1188,E,106111,Rue D'Youville,-71.2153497646901,46.81304146017799
101090,1187,E,106111,Rue D'Youville,-71.2153387494982,46.81302999563542
101091,1185,E,106111,Rue D'Youville,-71.21523380985896,46.81292695892358
101092,1186,E,106111,Rue D'Youville,-71.21524979173076,46.812940425625655
101100,2667,E,100037,Rue de l'Amérique-Française,-71.21990357109755,46.80722811875624
101101,2666,E,100037,Rue de l'Amérique-Française,-71.21984354397148,46.807145288493224
101102,2665,E,100037,Rue de l'Amérique-Française,-71.2198353117901,46.80713027127829
101103,2664,E,100037,Rue de l'Amérique-Française,-71.21981741970082,46.80708553669163
101104,2663,E,100037,Rue de l'Amérique-Française,-71.21975776049217,46.80699981621946
101105,2662,E,100037,Rue de l'Amérique-Française,-71.21974946356087,46.80697994134243
101106,2661,E,100037,Rue de l'Amérique-Française,-71.21969593169752,46.8068987704743
101107,2660,E,100037,Rue de l'Amérique-Française,-71.21968694674585,46.80688133794664
101108,2659,E,100037,Rue de l'Amérique-Française,-71.21965427417634,46.80683553573547
101109,2658,E,100037,Rue de l'Amérique-Française,-71.21960843598802,46.806743727670074
101110,2657,E,100037,Rue de l'Amérique-Française,-71.21959973790514,46.806725204765506
101111,2656,E,100037,Rue de l'Amérique-Française,-71.2195522583617,46.80664392380253
101112,2655,E,100037,Rue de l'Amérique-Française,-71.21953651035514,46.806626317867014
101113,1243,E,100285,Rue D'Auteuil,-71.21048935567114,46.810484450201145
101114,1242,E,100285,Rue D'Auteuil,-71.21050362281757,46.810496209901196
101115,1245,E,100285,Rue D'Auteuil,-71.2103792347859,46.81038887219759
101116,1244,E,100285,Rue D'Auteuil,-71.21039268843306,46.81039955739206
101117,1246,E,100285,Rue D'Auteuil,-71.21027712281015,46.810301440111296
101118,1221,O,100284,Rue D'Auteuil,-71.21069058468487,46.81041193133324
101121,1057,S,100967,Rue De Buade,-71.20631304580651,46.81352767472536
101122,1058,S,100967,Rue De Buade,-71.20629032063482,46.81352646550299
101123,1056,S,100967,Rue De Buade,-71.20643228539275,46.813535116548586
101124,1055,S,100967,Rue De Buade,-71.2066085757084,46.81355322663798
101143,1160,N,101645,Rue Cook,-71.21042451979409,46.81319500132219
101144,1161,N,101645,Rue Cook,-71.21044776435828,46.81319485703943
101145,1162,N,101645,Rue Cook,-71.21060619371003,46.813201988271445
101146,1163,N,101645,Rue Cook,-71.21062944166233,46.81320110622578
101147,1164,N,101645,Rue Cook,-71.21078014328572,46.813210498311896
101148,1090,N,101842,Côte Dinan,-71.21006332543232,46.816646812939794
101149,1091,N,101842,Côte Dinan,-71.21008362865214,46.81663715079968
101150,1092,N,101842,Côte Dinan,-71.21019003444597,46.81658299803242
101151,1093,N,101842,Côte Dinan,-71.21021294387187,46.81657122353742
101152,1094,N,101842,Côte Dinan,-71.21031946443055,46.81652580543792
101153,1095,N,101842,Côte Dinan,-71.21034301924877,46.816515277410474
101154,1097,N,101842,Côte Dinan,-71.21048139894722,46.81645506027606
101155,1098,N,101842,Côte Dinan,-71.21060059614246,46.81640801584235
101156,1099,N,101842,Côte Dinan,-71.21062415085397,46.81639748775743
101157,1100,N,101842,Côte Dinan,-71.21073871575693,46.816346999330726
101158,1101,N,101842,Côte Dinan,-71.21075978628782,46.8163369094745
101159,1102,N,101842,Côte Dinan,-71.21088295607818,46.81628308378159
101160,1103,N,101842,Côte Dinan,-71.21090402643839,46.81627298490336
101161,1104,N,101842,Côte Dinan,-71.2110279429007,46.816224129423446
101162,1105,N,101842,Côte Dinan,-71.21105148108364,46.81621235984999
101163,1106,N,101842,Côte Dinan,-71.21117658443784,46.81617005520841
101164,1107,N,101842,Côte Dinan,-71.2111963983536,46.81616107963632
101165,1108,N,101842,Côte Dinan,-71.21132155745606,46.81610811375855
101166,1109,N,101842,Côte Dinan,-71.21134138105239,46.81609987580565
101167,1110,N,101842,Côte Dinan,-71.21144793883462,46.81605146061908
101168,1111,N,101842,Côte Dinan,-71.21146886646733,46.81604247807676
101169,1112,N,101842,Côte Dinan,-71.21158448273472,46.81599233312323
101170,1113,N,101842,Côte Dinan,-71.2116042966355,46.815983366476665
101171,1114,N,101842,Côte Dinan,-71.21172432556203,46.81593098083232
101172,1115,N,101842,Côte Dinan,-71.21174304833137,46.815922749654874
101173,1116,N,101842,Côte Dinan,-71.21184464265154,46.81587860226564
101174,1117,N,101842,Côte Dinan,-71.21186329951027,46.81587034448915
101203,1274,O,103616,Côte de la Montagne,-71.20380830062815,46.81287716383729
101204,1275,O,103616,Côte de la Montagne,-71.20378360605206,46.81287664095771
101215,1283,E,106835,Côte de la Montagne,-71.20330952291079,46.81332917725979
101216,1284,E,106835,Côte de la Montagne,-71.20330530579575,46.813345441676574
101217,1285,E,106835,Côte de la Montagne,-71.20330201927614,46.81343308681319
101218,1286,E,106835,Côte de la Montagne,-71.20329891590549,46.81344934438567
101219,1287,E,106835,Côte de la Montagne,-71.20328463874492,46.81354430815353
101220,1288,E,106835,Côte de la Montagne,-71.20328040225597,46.81355908828178
101223,1121,O,103904,Côte du Palais,-71.21175263402507,46.81532335000372
101224,1122,O,103904,Côte du Palais,-71.21166532366244,46.81525319922134
101225,1126,O,103905,Côte du Palais,-71.21113004058942,46.814827425051476
101226,1127,O,103905,Côte du Palais,-71.21111172002847,46.81481544771872
101227,1128,O,103905,Côte du Palais,-71.21100066284679,46.81473708630678
101229,1129,O,103905,Côte du Palais,-71.21082565286385,46.814622623592975
101230,1130,O,103905,Côte du Palais,-71.21081008720522,46.814610863008525
101231,1065,O,103984,Rue Port-Dauphin,-71.20498536681532,46.81391159495879
101232,1066,O,103984,Rue Port-Dauphin,-71.20497111110429,46.8139227483382
101233,1067,O,103984,Rue Port-Dauphin,-71.2048790525245,46.8139857863273
101234,1068,O,103984,Rue Port-Dauphin,-71.2048659008989,46.81399619518905
101235,1069,O,103984,Rue Port-Dauphin,-71.20477053749663,46.81406106171883
101236,1070,O,103984,Rue Port-Dauphin,-71.2047539119731,46.81407338120243
101237,1071,O,103984,Rue Port-Dauphin,-71.20466886712217,46.81413969550467
101238,1072,O,103984,Rue Port-Dauphin,-71.20465518512187,46.81415063839481
101239,1073,O,103984,Rue Port-Dauphin,-71.20456004640279,46.81421970468234
101240,1074,O,103984,Rue Port-Dauphin,-71.20437696842215,46.8143572889121
101241,1075,O,103984,Rue Port-Dauphin,-71.20436051112792,46.814368455763386
101242,1076,O,103984,Rue Port-Dauphin,-71.20428440139274,46.81442565541446
101284,2618,N,104806,Rue Jacques-Parizeau,-71.22154350371686,46.80569809070536
101291,2060,S,,Rue Saint-Jean,-71.22113789021557,46.8094609762848
101292,2061,S,,Rue Saint-Jean,-71.22111529835762,46.80947061883543
101294,3492,O,105366,Rue Saint-Nicolas,-71.2136355389076,46.816218642274634
101318,2327,E,105720,Avenue Turnbull,-71.22254529476037,46.80577047133776
101319,2326,E,105720,Avenue Turnbull,-71.2225307321151,46.805757293560255
101320,2325,E,105720,Avenue Turnbull,-71.22243464397951,46.80567924446528
101321,2324,E,105720,Avenue Turnbull,-71.22242006816451,46.80566605776024
101322,2323,E,105720,Avenue Turnbull,-71.22232733720155,46.805587231684854
101323,2322,E,105720,Avenue Turnbull,-71.22231166095152,46.80557405191085
101324,2321,E,105720,Avenue Turnbull,-71.22221653298642,46.80549721108713
101325,2320,E,105720,Avenue Turnbull,-71.22220196050262,46.805483286626895
101363,2277,O,101300,Rue de Claire-Fontaine,-71.22059706908797,46.80591394877126
101364,2278,O,101300,Rue de Claire-Fontaine,-71.22058598638753,46.80589740217084
101365,2279,O,101300,Rue de Claire-Fontaine,-71.22054058699369,46.80581888840123
101366,2280,O,101300,Rue de Claire-Fontaine,-71.2205285340337,46.8057993431009
101367,2281,O,101300,Rue de Claire-Fontaine,-71.22047698233084,46.80571045018822
101368,2282,O,101300,Rue de Claire-Fontaine,-71.22046585442915,46.80569051221186
101369,2283,O,101300,Rue de Claire-Fontaine,-71.2204189069756,46.805597101077126
101370,2284,O,101300,Rue de Claire-Fontaine,-71.22032061468492,46.8054420187842
101394,3010,S,101363,Boulevard Charest Est,-71.22542073238846,46.813016730047394
101406,3486,O,105437,Rue Saint-Pierre,-71.20285395674816,46.81420983546327
101408,3485,O,105437,Rue Saint-Pierre,-71.20287384131329,46.81424947743703
101411,4011,E,100329,1re Avenue,-71.23690544218863,46.829530389187646
101493,3289,O,105738,Rue Vallière,-71.21471486441207,46.81521436887163
101494,3288,O,105738,Rue Vallière,-71.21476652786775,46.81531467996601
101495,3287,O,105738,Rue Vallière,-71.2147755958975,46.81532751517575
101496,3286,O,105738,Rue Vallière,-71.21483408878663,46.81542103628841
101497,3285,O,105738,Rue Vallière,-71.21484266344976,46.81543421643713
101518,2549,N,102313,Grande Allée Est,-71.21723546734827,46.80607419376517
101519,2548,N,102313,Grande Allée Est,-71.21721833359003,46.80608237991503
101520,2546,N,102314,Grande Allée Est,-71.21695495582384,46.80622269179678
101521,2545,N,102314,Grande Allée Est,-71.21693550542614,46.80623304255876
101522,2544,N,102314,Grande Allée Est,-71.21683528239497,46.80628898926264
101523,2543,N,102314,Grande Allée Est,-71.21681273648989,46.806302049318816
101524,2542,N,102314,Grande Allée Est,-71.21671174664021,46.80635749691708
101525,2541,N,102314,Grande Allée Est,-71.21668920079601,46.80637056594476
101526,2540,N,102314,Grande Allée Est,-71.21659128140065,46.80642637205831
101527,2539,N,102314,Grande Allée Est,-71.21657105195202,46.80643726742033
101528,2538,N,102314,Grande Allée Est,-71.21646146886499,46.80649980379173
101529,2537,N,102314,Grande Allée Est,-71.21644046045266,46.80651124379148
101530,2536,N,102314,Grande Allée Est,-71.21634342546012,46.80656659433449
101531,2535,N,102314,Grande Allée Est,-71.21632086498926,46.8065785748146
101533,2775,O,102355,Place George-V Ouest,-71.2153070727048,46.80677556729678
101534,2776,O,102355,Place George-V Ouest,-71.21529119574915,46.80676592340924
101535,2777,O,102355,Place George-V Ouest,-71.21520353799217,46.80668961485777
101536,2778,O,102355,Place George-V Ouest,-71.2151907766611,46.806677783351475
101573,2224,S,104455,Boulevard René-Lévesque Ouest,-71.22577501660304,46.804649828567776
101574,2223,S,104455,Boulevard René-Lévesque Ouest,-71.22588932341836,46.80459084285865
101575,2222,S,104455,Boulevard René-Lévesque Ouest,-71.22590617998476,46.80458361078543
101576,2221,S,104455,Boulevard René-Lévesque Ouest,-71.22594935078652,46.80454952843277
101627,2738,E,101642,Rue Louis-Alexandre-Taschereau,-71.21591448428498,46.80873649563713
101628,2737,E,101642,Rue Louis-Alexandre-Taschereau,-71.21589986359633,46.80871888215646
101637,3050,N,101367,Boulevard Charest Est,-71.22000742660569,46.81509306824671
